operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationGetKHopNeighbors-both-1                                    0.028            0.006         0.021           0.072    
OperationGetKHopNeighborsEdgeConditional-both-1                     0.139            0.105         0.047           0.536    
OperationGetKHopNeighbors-both-2                                    0.059            0.016         0.026           0.120    
OperationGetKHopNeighborsEdgeConditional-both-2                     0.186            0.120         0.069           0.756    
OperationGetKHopNeighbors-both-3                                    0.190            0.061         0.047           0.321    
OperationGetKHopNeighborsEdgeConditional-both-3                     0.261            0.122         0.090           0.717    
OperationGetKHopNeighbors-both-4                                    0.642            0.258         0.102           1.322    
OperationGetKHopNeighborsEdgeConditional-both-4                     0.229            0.102         0.066           0.566    
OperationGetKHopNeighbors-both-5                                    1.443            0.479         0.521           2.495    
OperationGetKHopNeighborsEdgeConditional-both-5                     0.270            0.122         0.100           0.764    
OperationGetKHopNeighbors-out-withlabel-1                           0.026            0.003         0.019           0.031    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            0.052            0.036         0.018           0.282    
OperationGetKHopNeighbors-out-withlabel-2                           0.028            0.006         0.018           0.070    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            0.064            0.040         0.018           0.270    
OperationGetKHopNeighbors-out-withlabel-3                           0.030            0.008         0.019           0.069    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            0.067            0.035         0.019           0.214    
OperationGetKHopNeighbors-out-withlabel-4                           0.037            0.012         0.020           0.071    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            0.070            0.048         0.020           0.355    
OperationGetKHopNeighbors-out-withlabel-5                           0.041            0.018         0.020           0.116    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5            0.073            0.042         0.020           0.215    
OperationGetKHopNeighbors-in-withlabel-1                            0.025            0.003         0.019           0.030    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             0.059            0.037         0.020           0.276    
OperationGetKHopNeighbors-in-withlabel-2                            0.030            0.004         0.020           0.040    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             0.065            0.028         0.019           0.195    
OperationGetKHopNeighbors-in-withlabel-3                            0.032            0.010         0.019           0.080    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             0.062            0.037         0.019           0.225    
OperationGetKHopNeighbors-in-withlabel-4                            0.034            0.011         0.019           0.088    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             0.073            0.037         0.022           0.162    
OperationGetKHopNeighbors-in-withlabel-5                            0.041            0.020         0.019           0.113    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             0.074            0.040         0.020           0.186    
OperationGetKHopNeighbors-both-withlabel-1                          0.026            0.003         0.021           0.031    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           0.065            0.017         0.023           0.103    
OperationGetKHopNeighbors-both-withlabel-2                          0.036            0.007         0.023           0.058    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2           0.092            0.031         0.027           0.165    
OperationGetKHopNeighbors-both-withlabel-3                          0.058            0.021         0.022           0.119    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3           0.114            0.044         0.023           0.223    
OperationGetKHopNeighbors-both-withlabel-4                          0.095            0.051         0.021           0.225    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           0.137            0.050         0.023           0.300    
OperationGetKHopNeighbors-both-withlabel-5                          0.171            0.096         0.022           0.427    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5           0.141            0.062         0.023           0.290    
OperationGetManyVertexProperties-name                              12.830            0.000        12.830          12.830    
OperationGetManyVertexProperties-age                               12.241            0.000        12.241          12.241    
OperationGetManyEdgeProperties-time                                 0.914            0.000         0.914           0.914    
OperationGetManyVertexPropertySets                                 11.265            0.000        11.265          11.265    
OperationGetManyEdgePropertySets                                    0.442            0.000         0.442           0.442    
OperationGetVerticesUsingKeyIndex-_original_id                      0.666            0.452         0.335           5.024    
OperationGetVerticesUsingKeyIndex-name                              0.601            0.112         0.361           0.862    
OperationGetVerticesUsingKeyIndex-age                               2.317            0.600         1.001           3.502    
OperationGetEdgesUsingKeyIndex-time                                 0.664            1.211         0.312          12.511    
OperationGetShortestPath                                            2.269            1.350         0.157           4.886    
OperationLocalClusteringCoefficient                                 0.113            0.035         0.061           0.203    
OperationShutdownGraph                                            287.385            0.000       287.385         287.385    
