operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationGetKHopNeighbors-in-withlabel-2                            0.154            0.077         0.034           0.486    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             2.701            4.639         0.083          23.568    
OperationGetKHopNeighbors-in-withlabel-3                            0.283            0.154         0.020           0.681    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             2.708            4.542         0.079          19.552    
OperationGetKHopNeighbors-in-withlabel-4                            0.479            0.292         0.024           1.329    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             3.530            4.712         0.065          18.770    
OperationGetKHopNeighbors-in-withlabel-5                            0.856            0.553         0.028           2.577    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             3.646            6.045         0.065          30.824    
OperationGetKHopNeighbors-both-withlabel-1                          0.085            0.043         0.028           0.445    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           5.041            7.168         0.078          32.376    
OperationGetKHopNeighbors-both-withlabel-2                          0.263            0.168         0.031           1.161    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2          10.169           13.685         0.057          86.370    
OperationGetKHopNeighbors-both-withlabel-3                          1.504            3.939         0.063          39.369    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3          10.400           12.541         0.050          75.147    
OperationGetKHopNeighbors-both-withlabel-4                          8.354            8.609         0.241          44.831    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           9.540           10.165         0.024          43.570    
OperationGetKHopNeighbors-both-withlabel-5                         67.014           89.142         0.049         493.140    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5           7.290            8.729         0.055          36.954    
OperationGetManyVertexProperties-name                             512.441            0.000       512.441         512.441    
OperationGetManyVertexProperties-age                              475.075            0.000       475.075         475.075    
OperationGetManyEdgeProperties-time                               147.930            0.000       147.930         147.930    
OperationGetManyVertexPropertySets                                483.050            0.000       483.050         483.050    
OperationGetManyEdgePropertySets                                  159.647            0.000       159.647         159.647    
OperationGetVerticesUsingKeyIndex-_original_id                     24.204           37.843         0.419         351.669    
OperationGetVerticesUsingKeyIndex-name                             30.382           32.698         0.471         192.083    
OperationGetVerticesUsingKeyIndex-age                              83.817           50.920        67.473         391.182    
OperationGetEdgesUsingKeyIndex-time                               135.239          381.935         2.905        2885.381    
OperationShutdownGraph                                           1120.148            0.000      1120.148        1120.148    
