operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationGetKHopNeighborsEdgeConditional-both-2                     0.596            0.234         0.266           1.825    
OperationGetKHopNeighbors-both-3                                    8.755            6.306         1.491          37.121    
OperationGetKHopNeighborsEdgeConditional-both-3                     0.705            0.269         0.276           1.528    
OperationGetKHopNeighbors-both-4                                   81.572          115.014        16.462         923.606    
OperationGetKHopNeighborsEdgeConditional-both-4                     0.899            0.374         0.279           2.358    
OperationGetKHopNeighbors-both-5                                 1290.716         1095.375       292.313        7508.877    
OperationGetKHopNeighborsEdgeConditional-both-5                     0.800            0.389         0.288           2.367    
OperationGetKHopNeighbors-out-withlabel-1                           0.104            0.021         0.076           0.171    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            0.199            0.088         0.065           0.526    
OperationGetKHopNeighbors-out-withlabel-2                           0.184            0.101         0.079           0.691    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            0.253            0.127         0.070           0.595    
OperationGetKHopNeighbors-out-withlabel-3                           0.651            1.297         0.084          10.115    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            0.279            0.155         0.069           0.777    
OperationGetKHopNeighbors-out-withlabel-4                           0.695            1.354         0.070           9.814    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            0.249            0.146         0.064           0.939    
OperationGetKHopNeighbors-out-withlabel-5                           8.857           58.033         0.068         577.623    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5            0.266            0.161         0.062           1.110    
OperationGetKHopNeighbors-in-withlabel-1                            0.115            0.014         0.084           0.165    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             0.186            0.038         0.105           0.275    
OperationGetKHopNeighbors-in-withlabel-2                            0.201            0.040         0.134           0.284    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             0.233            0.050         0.132           0.355    
OperationGetKHopNeighbors-in-withlabel-3                            0.543            0.112         0.292           0.670    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             0.298            0.103         0.148           1.072    
OperationGetKHopNeighbors-in-withlabel-4                            1.892            0.569         0.780           2.551    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             0.353            0.079         0.187           0.486    
OperationGetKHopNeighbors-in-withlabel-5                            7.455            1.538         3.294          10.095    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             0.346            0.091         0.176           0.551    
OperationGetKHopNeighbors-both-withlabel-1                          0.139            0.024         0.105           0.218    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           0.278            0.102         0.157           0.726    
OperationGetKHopNeighbors-both-withlabel-2                          0.636            0.384         0.240           2.937    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2           0.504            0.181         0.245           1.305    
OperationGetKHopNeighbors-both-withlabel-3                          6.186            4.433         1.782          24.693    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3           0.662            0.274         0.286           1.837    
OperationGetKHopNeighbors-both-withlabel-4                         91.383          125.698        13.836        1009.610    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           0.707            0.301         0.294           1.757    
OperationGetKHopNeighbors-both-withlabel-5                       1159.356         1336.707       160.430        9991.591    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5           0.772            0.276         0.321           1.686    
OperationGetManyVertexProperties-name                             495.085            0.000       495.085         495.085    
OperationGetManyVertexProperties-age                              133.253            0.000       133.253         133.253    
OperationGetManyEdgeProperties-time                                 3.398            0.000         3.398           3.398    
OperationGetManyVertexPropertySets                                422.907            0.000       422.907         422.907    
OperationGetManyEdgePropertySets                                    3.641            0.000         3.641           3.641    
OperationGetVerticesUsingKeyIndex-_original_id                      2.761            6.039         0.141          35.100    
OperationGetVerticesUsingKeyIndex-name                              6.225            8.890         0.172          45.250    
OperationGetVerticesUsingKeyIndex-age                               7.431            1.439         3.455           8.964    
OperationGetEdgesUsingKeyIndex-time                                 1.969            0.769         0.813           3.932    
OperationShutdownGraph                                            246.505            0.000       246.505         246.505    
