operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            9.508           12.092         0.078          85.296    
OperationGetKHopNeighbors-out-withlabel-4                           0.592            2.038         0.076          16.941    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            9.298           11.537         0.064          47.197    
OperationGetKHopNeighbors-out-withlabel-5                           0.607            2.022         0.075          18.136    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5            7.126           10.589         0.070          48.498    
OperationGetKHopNeighbors-in-withlabel-1                            0.106            0.011         0.082           0.134    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             5.536           11.992         0.087         104.313    
OperationGetKHopNeighbors-in-withlabel-2                            0.174            0.033         0.115           0.291    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             6.338            9.471         0.089          67.209    
OperationGetKHopNeighbors-in-withlabel-3                            0.255            0.078         0.086           0.426    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             6.482            6.652         0.107          29.707    
OperationGetKHopNeighbors-in-withlabel-4                            0.396            0.158         0.084           0.860    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             5.142            7.026         0.110          32.170    
OperationGetKHopNeighbors-in-withlabel-5                            0.879            0.401         0.110           2.192    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             8.414            9.244         0.161          43.136    
OperationGetKHopNeighbors-both-withlabel-1                          0.141            0.026         0.092           0.224    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           6.217            9.805         0.139          75.881    
OperationGetKHopNeighbors-both-withlabel-2                          0.343            0.175         0.122           1.287    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2          11.685            9.886         0.218          47.010    
OperationGetKHopNeighbors-both-withlabel-3                          1.240            0.798         0.266           4.204    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3          15.214           22.898         0.294         166.093    
OperationGetKHopNeighbors-both-withlabel-4                          9.520            9.512         0.119          57.115    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4          13.852           17.477         0.145         147.235    
OperationGetKHopNeighbors-both-withlabel-5                        103.867          209.521         0.091        1497.702    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5          12.688           11.235         0.131          68.032    
OperationGetManyVertexProperties-name                            1112.279            0.000      1112.279        1112.279    
OperationGetManyVertexProperties-age                              659.863            0.000       659.863         659.863    
OperationGetManyEdgeProperties-time                                36.446            0.000        36.446          36.446    
OperationGetManyVertexPropertySets                               1083.340            0.000      1083.340        1083.340    
OperationGetManyEdgePropertySets                                   48.143            0.000        48.143          48.143    
OperationGetVerticesUsingKeyIndex-_original_id                      8.694            5.626         0.170          30.115    
OperationGetVerticesUsingKeyIndex-name                             18.344           15.849         0.541         135.937    
OperationGetVerticesUsingKeyIndex-age                              69.370           74.303         5.832         216.863    
OperationGetEdgesUsingKeyIndex-time                                57.958           48.041         3.222         173.215    
OperationShutdownGraph                                            448.890            0.000       448.890         448.890    
