operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationGetKHopNeighbors-in-2                                      0.419            0.256         0.164           1.847    
OperationGetKHopNeighborsEdgeConditional-in-2                       1.246            3.334         0.208          17.579    
OperationGetKHopNeighbors-in-3                                      2.661            1.500         0.901          11.739    
OperationGetKHopNeighborsEdgeConditional-in-3                       1.393            2.910         0.333          20.236    
OperationGetKHopNeighbors-in-4                                     10.967            4.743         4.771          40.313    
OperationGetKHopNeighborsEdgeConditional-in-4                       2.704            5.481         0.345          24.072    
OperationGetKHopNeighbors-in-5                                     25.518            8.962         7.443          58.992    
OperationGetKHopNeighborsEdgeConditional-in-5                       2.705            5.196         0.380          23.639    
OperationGetKHopNeighbors-both-1                                    0.077            0.059         0.018           0.599    
OperationGetKHopNeighborsEdgeConditional-both-1                     1.177            3.838         0.177          26.939    
OperationGetKHopNeighbors-both-2                                    0.500            0.283         0.138           1.982    
OperationGetKHopNeighborsEdgeConditional-both-2                     2.468            6.657         0.301          46.167    
OperationGetKHopNeighbors-both-3                                    6.519            9.281         1.076          84.265    
OperationGetKHopNeighborsEdgeConditional-both-3                     3.387            9.136         0.231          77.273    
OperationGetKHopNeighbors-both-4                                  115.400          173.174        15.420        1383.003    
OperationGetKHopNeighborsEdgeConditional-both-4                     2.047            4.417         0.239          38.204    
OperationGetKHopNeighbors-both-5                                 1798.669         1825.050       346.012       10794.154    
OperationGetKHopNeighborsEdgeConditional-both-5                    13.938           22.667         0.224         125.529    
OperationGetKHopNeighbors-out-withlabel-1                           0.421            3.540         0.015          35.638    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            0.166            0.109         0.033           0.615    
OperationGetKHopNeighbors-out-withlabel-2                           0.124            0.138         0.020           1.093    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            0.222            0.152         0.030           0.734    
OperationGetKHopNeighbors-out-withlabel-3                           0.255            0.500         0.013           3.999    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            0.211            0.162         0.020           0.722    
OperationGetKHopNeighbors-out-withlabel-4                           0.345            0.762         0.022           5.065    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            0.227            0.218         0.013           1.139    
OperationGetKHopNeighbors-out-withlabel-5                           1.972            9.076         0.030          76.221    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5            0.228            0.217         0.020           1.231    
OperationGetKHopNeighbors-in-withlabel-1                            0.068            0.044         0.016           0.430    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             0.483            3.022         0.099          30.543    
OperationGetKHopNeighbors-in-withlabel-2                            0.230            0.132         0.054           0.859    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             0.311            0.114         0.039           0.605    
OperationGetKHopNeighbors-in-withlabel-3                            0.647            0.382         0.055           2.269    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             0.465            0.183         0.055           1.177    
OperationGetKHopNeighbors-in-withlabel-4                            1.936            1.446         0.025           6.517    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             0.491            0.186         0.067           1.084    
OperationGetKHopNeighbors-in-withlabel-5                            4.864            4.711         0.033          44.574    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             0.696            0.317         0.060           1.633    
OperationGetKHopNeighbors-both-withlabel-1                          0.074            0.056         0.023           0.543    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           0.228            0.118         0.038           0.841    
OperationGetKHopNeighbors-both-withlabel-2                          0.309            0.161         0.072           0.881    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2           0.437            0.207         0.141           1.148    
OperationGetKHopNeighbors-both-withlabel-3                          2.179            4.174         0.170          39.967    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3           0.622            0.503         0.059           3.840    
OperationGetKHopNeighbors-both-withlabel-4                         11.919           18.064         0.055         156.981    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           0.646            0.478         0.037           3.052    
OperationGetKHopNeighbors-both-withlabel-5                        109.106          166.019         0.047        1216.745    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5           0.789            0.513         0.210           3.323    
OperationGetManyVertexProperties-name                             546.872            0.000       546.872         546.872    
OperationGetManyVertexProperties-age                              547.067            0.000       547.067         547.067    
OperationGetManyEdgeProperties-time                                72.200            0.000        72.200          72.200    
OperationGetManyVertexPropertySets                                468.036            0.000       468.036         468.036    
OperationGetManyEdgePropertySets                                   35.404            0.000        35.404          35.404    
OperationGetVerticesUsingKeyIndex-_original_id                      4.234           22.591         0.417         224.286    
OperationGetVerticesUsingKeyIndex-name                              4.510            8.740         0.702          54.472    
OperationGetVerticesUsingKeyIndex-age                             162.359           17.877       150.731         267.676    
OperationGetEdgesUsingKeyIndex-time                               124.199          290.409         5.154        2289.784    
OperationShutdownGraph                                           1840.978            0.000      1840.978        1840.978    
