operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationGetKHopNeighbors-both-5                                 2864.009         2886.908       345.925       16292.401    
OperationGetKHopNeighborsEdgeConditional-both-5                   186.786          168.848        23.793        1051.422    
OperationGetKHopNeighbors-out-withlabel-1                           0.126            0.029         0.069           0.275    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1           14.479           17.538         0.062          93.198    
OperationGetKHopNeighbors-out-withlabel-2                           0.256            0.182         0.068           1.135    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2           20.462           25.102         0.061         121.926    
OperationGetKHopNeighbors-out-withlabel-3                           0.757            2.953         0.068          29.111    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3           20.783           31.595         0.063         188.445    
OperationGetKHopNeighbors-out-withlabel-4                           1.913           11.312         0.069         113.058    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4           26.171           32.361         0.063         145.674    
OperationGetKHopNeighbors-out-withlabel-5                           1.037            3.353         0.069          29.649    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5           29.511           48.611         0.063         362.335    
OperationGetKHopNeighbors-in-withlabel-1                            0.124            0.036         0.041           0.238    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             7.661            4.640         0.065          22.496    
OperationGetKHopNeighbors-in-withlabel-2                            0.356            0.141         0.107           0.941    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2            13.833            7.636         0.025          45.982    
OperationGetKHopNeighbors-in-withlabel-3                            1.517            3.888         0.175          39.671    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3            19.800           10.401         0.915          65.639    
OperationGetKHopNeighbors-in-withlabel-4                            2.906            1.622         0.129           7.632    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4            23.956           16.104         0.073         100.835    
OperationGetKHopNeighbors-in-withlabel-5                            7.142            5.633         0.069          45.117    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5            22.487           14.109         0.066          82.930    
OperationGetKHopNeighbors-both-withlabel-1                          0.125            0.037         0.069           0.272    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1          23.096           24.526         0.128         161.201    
OperationGetKHopNeighbors-both-withlabel-2                          0.484            0.404         0.095           3.798    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2          58.241           45.975         0.126         287.558    
OperationGetKHopNeighbors-both-withlabel-3                          3.603            7.071         0.126          53.523    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3          81.730           75.580        10.971         567.478    
OperationGetKHopNeighbors-both-withlabel-4                         19.573           27.179         0.081         197.801    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4          72.581           67.722         0.064         419.257    
OperationGetKHopNeighbors-both-withlabel-5                        167.070          342.852         0.058        2689.840    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5          81.774          104.480         6.193         883.821    
OperationGetManyVertexProperties-name                             661.636            0.000       661.636         661.636    
OperationGetManyVertexProperties-age                              658.877            0.000       658.877         658.877    
OperationGetManyEdgeProperties-time                               644.050            0.000       644.050         644.050    
OperationGetManyVertexPropertySets                                692.937            0.000       692.937         692.937    
OperationGetManyEdgePropertySets                                  690.551            0.000       690.551         690.551    
OperationGetVerticesUsingKeyIndex-_original_id                     49.119           93.848         0.853         939.291    
OperationGetVerticesUsingKeyIndex-name                            325.416          289.223        58.472        1532.099    
OperationGetVerticesUsingKeyIndex-age                            2116.503          559.267      1367.508        5310.307    
OperationGetEdgesUsingKeyIndex-time                             43361.309         1800.560     34587.946       47631.960    
OperationShutdownGraph                                           2138.989            0.000      2138.989        2138.989    
