operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationGetKHopNeighbors-both-4                                   11.482            3.385         3.536          17.626    
OperationGetKHopNeighborsEdgeConditional-both-4                     0.356            0.127         0.164           0.802    
OperationGetKHopNeighbors-both-5                                   16.201            1.711         9.329          18.857    
OperationGetKHopNeighborsEdgeConditional-both-5                     0.392            0.154         0.179           0.856    
OperationGetKHopNeighbors-out-withlabel-1                           0.105            0.017         0.076           0.169    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            0.109            0.030         0.058           0.216    
OperationGetKHopNeighbors-out-withlabel-2                           0.153            0.070         0.076           0.447    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            0.128            0.045         0.056           0.313    
OperationGetKHopNeighbors-out-withlabel-3                           0.387            0.673         0.082           5.864    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            0.136            0.062         0.056           0.370    
OperationGetKHopNeighbors-out-withlabel-4                           0.596            1.273         0.075           7.404    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            0.122            0.044         0.056           0.244    
OperationGetKHopNeighbors-out-withlabel-5                           0.817            1.773         0.069           9.324    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5            0.138            0.053         0.056           0.304    
OperationGetKHopNeighbors-in-withlabel-1                            0.100            0.017         0.077           0.160    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             0.119            0.022         0.085           0.202    
OperationGetKHopNeighbors-in-withlabel-2                            0.155            0.032         0.101           0.222    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             0.139            0.026         0.104           0.206    
OperationGetKHopNeighbors-in-withlabel-3                            0.299            0.098         0.136           0.531    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             0.164            0.034         0.092           0.225    
OperationGetKHopNeighbors-in-withlabel-4                            0.581            0.239         0.132           1.140    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             0.197            0.040         0.108           0.264    
OperationGetKHopNeighbors-in-withlabel-5                            0.870            0.382         0.186           1.930    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             0.195            0.056         0.080           0.360    
OperationGetKHopNeighbors-both-withlabel-1                          0.136            0.025         0.092           0.280    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           0.154            0.042         0.100           0.315    
OperationGetKHopNeighbors-both-withlabel-2                          0.341            0.180         0.182           1.192    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2           0.199            0.061         0.132           0.551    
OperationGetKHopNeighbors-both-withlabel-3                          2.806            1.692         0.784          10.588    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3           0.281            0.082         0.140           0.553    
OperationGetKHopNeighbors-both-withlabel-4                         11.816            3.073         5.471          17.829    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           0.311            0.135         0.154           1.011    
OperationGetKHopNeighbors-both-withlabel-5                         15.736            2.075         9.155          18.268    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5           0.443            0.140         0.169           0.800    
OperationGetManyVertexProperties-name                               2.911            0.000         2.911           2.911    
OperationGetManyVertexProperties-age                                2.906            0.000         2.906           2.906    
OperationGetManyEdgeProperties-time                                 1.117            0.000         1.117           1.117    
OperationGetManyVertexPropertySets                                  5.219            0.000         5.219           5.219    
OperationGetManyEdgePropertySets                                    1.191            0.000         1.191           1.191    
OperationGetVerticesUsingKeyIndex-_original_id                      0.150            0.025         0.116           0.233    
OperationGetVerticesUsingKeyIndex-name                              0.170            0.027         0.115           0.246    
OperationGetVerticesUsingKeyIndex-age                               0.158            0.023         0.122           0.201    
OperationGetEdgesUsingKeyIndex-time                                 0.147            0.029         0.108           0.225    
OperationShutdownGraph                                            146.770            0.000       146.770         146.770    
