operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationGetKHopNeighbors-out-3                                     0.325            0.448         0.069           2.653    
OperationGetKHopNeighborsEdgeConditional-out-3                      0.134            0.050         0.057           0.335    
OperationGetKHopNeighbors-out-4                                     0.331            0.614         0.066           4.655    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.135            0.058         0.060           0.344    
OperationGetKHopNeighbors-in-1                                      0.086            0.010         0.065           0.131    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.103            0.016         0.079           0.154    
OperationGetKHopNeighbors-in-2                                      0.177            0.035         0.110           0.265    
OperationGetKHopNeighborsEdgeConditional-in-2                       0.135            0.023         0.097           0.195    
OperationGetKHopNeighbors-in-3                                      0.282            0.080         0.146           0.451    
OperationGetKHopNeighborsEdgeConditional-in-3                       0.169            0.020         0.112           0.219    
OperationGetKHopNeighbors-in-4                                      0.484            0.177         0.188           0.918    
OperationGetKHopNeighborsEdgeConditional-in-4                       0.181            0.043         0.105           0.279    
OperationGetKHopNeighbors-both-1                                    0.114            0.018         0.082           0.174    
OperationGetKHopNeighborsEdgeConditional-both-1                     0.135            0.028         0.095           0.214    
OperationGetKHopNeighbors-both-2                                    0.379            0.135         0.204           0.912    
OperationGetKHopNeighborsEdgeConditional-both-2                     0.217            0.053         0.126           0.337    
OperationGetKHopNeighbors-both-3                                    1.959            0.876         1.032           5.490    
OperationGetKHopNeighborsEdgeConditional-both-3                     0.263            0.085         0.151           0.580    
OperationGetKHopNeighbors-both-4                                    8.518            2.557         2.753          13.972    
OperationGetKHopNeighborsEdgeConditional-both-4                     0.321            0.117         0.157           0.934    
OperationGetKHopNeighbors-out-withlabel-1                           0.081            0.020         0.066           0.236    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            0.101            0.028         0.056           0.228    
OperationGetKHopNeighbors-out-withlabel-2                           0.169            0.082         0.064           0.528    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            0.105            0.034         0.056           0.219    
OperationGetKHopNeighbors-out-withlabel-3                           0.335            0.613         0.064           5.387    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            0.131            0.045         0.056           0.269    
OperationGetKHopNeighbors-out-withlabel-4                           0.499            0.909         0.063           6.218    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            0.125            0.045         0.056           0.268    
OperationGetKHopNeighbors-in-withlabel-1                            0.080            0.014         0.065           0.139    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             0.105            0.019         0.083           0.154    
OperationGetKHopNeighbors-in-withlabel-2                            0.191            0.032         0.128           0.256    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             0.141            0.023         0.097           0.227    
OperationGetKHopNeighbors-in-withlabel-3                            0.287            0.076         0.159           0.472    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             0.146            0.032         0.103           0.242    
OperationGetKHopNeighbors-in-withlabel-4                            0.482            0.173         0.141           0.886    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             0.177            0.037         0.104           0.244    
OperationGetKHopNeighbors-both-withlabel-1                          0.110            0.019         0.080           0.161    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           0.147            0.038         0.097           0.273    
OperationGetKHopNeighbors-both-withlabel-2                          0.428            0.154         0.205           1.319    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2           0.220            0.068         0.126           0.524    
OperationGetKHopNeighbors-both-withlabel-3                          2.176            1.321         0.557           9.783    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3           0.278            0.080         0.154           0.530    
OperationGetKHopNeighbors-both-withlabel-4                          8.361            2.585         2.998          17.555    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           0.305            0.110         0.165           0.662    
OperationGetManyVertexProperties-name                               1.919            0.251         0.823           2.140    
OperationGetManyVertexProperties-age                                1.174            0.314         0.648           1.790    
OperationGetManyEdgeProperties-time                                 1.402            0.455         0.679           2.197    
OperationGetManyVertexPropertySets                                  3.226            0.515         1.610           3.693    
OperationGetManyEdgePropertySets                                    1.092            0.329         0.639           2.319    
OperationGetVerticesUsingKeyIndex-_original_id                      0.129            0.021         0.101           0.186    
OperationGetVerticesUsingKeyIndex-name                              0.146            0.036         0.103           0.403    
OperationGetVerticesUsingKeyIndex-age                               0.124            0.017         0.094           0.163    
OperationGetEdgesUsingKeyIndex-time                                 0.141            0.024         0.100           0.198    
OperationGetShortestPath                                            8.736            4.343         0.267          18.030    
OperationLocalClusteringCoefficient                                 0.402            0.131         0.210           0.833    
OperationShutdownGraph                                            105.221            0.000       105.221         105.221    
