operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5           0.063            0.024         0.029           0.163    
OperationGetManyVertexProperties-name                               0.355            0.421         0.080           2.165    
OperationGetManyVertexProperties-age                                0.125            0.024         0.079           0.168    
OperationGetManyEdgeProperties-time                                 0.156            0.051         0.079           0.363    
OperationGetManyVertexPropertySets                                  0.200            0.054         0.120           0.282    
OperationGetManyEdgePropertySets                                    0.134            0.024         0.083           0.215    
OperationGetVerticesUsingKeyIndex-_original_id                      0.469            0.343         0.282           3.765    
OperationGetVerticesUsingKeyIndex-name                              0.394            0.080         0.260           0.562    
OperationGetVerticesUsingKeyIndex-age                               0.497            0.111         0.315           0.674    
OperationGetEdgesUsingKeyIndex-time                                 0.798            1.712         0.353          17.673    
OperationGetShortestPath                                            3.676            1.817         0.118           6.546    
OperationLocalClusteringCoefficient                                 0.126            0.057         0.054           0.423    
OperationShutdownGraph                                            305.797            0.000       305.797         305.797    
