operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationGetKHopNeighbors-out-withlabel-1                           0.025            0.004         0.016           0.045    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            0.037            0.039         0.016           0.211    
OperationGetKHopNeighbors-out-withlabel-2                           0.031            0.017         0.016           0.127    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            0.042            0.050         0.016           0.322    
OperationGetKHopNeighbors-out-withlabel-3                           0.043            0.055         0.015           0.394    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            0.037            0.029         0.016           0.230    
OperationGetKHopNeighbors-out-withlabel-4                           0.058            0.122         0.016           1.079    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            0.040            0.052         0.016           0.485    
OperationGetKHopNeighbors-out-withlabel-5                           0.056            0.105         0.017           0.976    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5            0.036            0.023         0.017           0.218    
OperationGetKHopNeighbors-in-withlabel-1                            0.025            0.003         0.018           0.028    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             0.034            0.020         0.018           0.229    
OperationGetKHopNeighbors-in-withlabel-2                            0.031            0.007         0.020           0.078    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             0.038            0.008         0.017           0.086    
OperationGetKHopNeighbors-in-withlabel-3                            0.043            0.013         0.021           0.080    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             0.041            0.020         0.018           0.220    
OperationGetKHopNeighbors-in-withlabel-4                            0.065            0.027         0.018           0.151    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             0.047            0.011         0.021           0.100    
OperationGetKHopNeighbors-in-withlabel-5                            0.082            0.036         0.023           0.197    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             0.049            0.011         0.023           0.082    
OperationGetKHopNeighbors-both-withlabel-1                          0.026            0.005         0.018           0.047    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           0.037            0.006         0.027           0.069    
OperationGetKHopNeighbors-both-withlabel-2                          0.056            0.022         0.025           0.140    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2           0.052            0.033         0.029           0.247    
OperationGetKHopNeighbors-both-withlabel-3                          0.232            0.163         0.027           1.133    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3           0.065            0.036         0.021           0.254    
OperationGetKHopNeighbors-both-withlabel-4                          0.842            0.429         0.094           2.310    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           0.073            0.023         0.021           0.153    
OperationGetKHopNeighbors-both-withlabel-5                          1.897            0.626         0.027           2.628    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5           0.085            0.036         0.028           0.265    
OperationGetManyVertexProperties-name                               6.520            0.000         6.520           6.520    
OperationGetManyVertexProperties-age                                5.941            0.000         5.941           5.941    
OperationGetManyEdgeProperties-time                                 0.527            0.000         0.527           0.527    
OperationGetManyVertexPropertySets                                 10.050            0.000        10.050          10.050    
OperationGetManyEdgePropertySets                                    0.305            0.000         0.305           0.305    
OperationGetVerticesUsingKeyIndex-_original_id                      0.533            0.585         0.330           6.251    
OperationGetVerticesUsingKeyIndex-name                              0.509            0.106         0.352           0.697    
OperationGetVerticesUsingKeyIndex-age                               2.289            0.260         1.796           2.851    
OperationGetEdgesUsingKeyIndex-time                                 1.062            1.963         0.438          20.073    
OperationShutdownGraph                                            326.547            0.000       326.547         326.547    
