operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationGetKHopNeighbors-in-3                                      2.968            4.133         0.273          40.703    
OperationGetKHopNeighborsEdgeConditional-in-3                     127.013           35.951        31.585         237.121    
OperationGetKHopNeighbors-in-4                                     13.014            6.804         2.963          58.197    
OperationGetKHopNeighborsEdgeConditional-in-4                     166.669           40.046        94.883         270.385    
OperationGetKHopNeighbors-in-5                                     66.019           29.135        13.147         188.359    
OperationGetKHopNeighborsEdgeConditional-in-5                     202.315           37.678        57.719         296.679    
OperationGetKHopNeighbors-both-1                                    0.116            0.050         0.051           0.477    
OperationGetKHopNeighborsEdgeConditional-both-1                    51.928           24.541         5.409         126.635    
OperationGetKHopNeighbors-both-2                                    0.806            0.337         0.303           3.311    
OperationGetKHopNeighborsEdgeConditional-both-2                    96.832           36.771        29.187         336.618    
OperationGetKHopNeighbors-both-3                                    9.377            5.309         2.474          55.267    
OperationGetKHopNeighborsEdgeConditional-both-3                   107.750           35.759        34.235         190.820    
OperationGetKHopNeighbors-both-4                                   99.597           32.575        45.632         287.567    
OperationGetKHopNeighborsEdgeConditional-both-4                   112.303           45.046        33.456         269.735    
OperationGetKHopNeighbors-both-5                                 1873.778          525.193       688.304        3506.934    
OperationGetKHopNeighborsEdgeConditional-both-5                   115.166           50.373        33.594         251.054    
OperationGetKHopNeighbors-out-withlabel-1                           0.120            0.039         0.029           0.252    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            8.557            6.974         0.160          27.543    
OperationGetKHopNeighbors-out-withlabel-2                           0.442            0.214         0.141           1.335    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2           14.893            9.641         0.304          53.005    
OperationGetKHopNeighbors-out-withlabel-3                           2.926            3.492         0.428          34.894    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3           21.481           11.499         0.272          65.093    
OperationGetKHopNeighbors-out-withlabel-4                          12.874            6.842         1.557          52.092    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4           32.219           15.665         0.372          86.133    
OperationGetKHopNeighbors-out-withlabel-5                          58.424           27.116         0.074         118.252    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5           35.000           17.311         0.012          94.174    
OperationGetKHopNeighbors-in-withlabel-1                            0.112            0.048         0.048           0.487    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1            37.233           23.099         0.054         121.274    
OperationGetKHopNeighbors-in-withlabel-2                            0.448            0.152         0.165           1.099    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2            58.352           27.701        16.607         229.245    
OperationGetKHopNeighbors-in-withlabel-3                            2.917            4.506         0.372          46.772    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3            73.248           36.462         0.985         258.930    
OperationGetKHopNeighbors-in-withlabel-4                           12.748            6.543         3.105          53.302    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4            81.746           28.974        16.841         201.391    
OperationGetKHopNeighbors-in-withlabel-5                           67.300           28.195         0.070         124.227    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5            79.314           29.786        25.048         181.006    
OperationGetKHopNeighbors-both-withlabel-1                          0.119            0.065         0.058           0.581    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1          19.165           14.425         0.344          78.465    
OperationGetKHopNeighbors-both-withlabel-2                          0.764            0.244         0.322           1.398    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2          32.677           18.480         0.679         102.937    
OperationGetKHopNeighbors-both-withlabel-3                          9.237            5.031         3.035          52.410    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3          32.693           21.118         0.794         126.643    
OperationGetKHopNeighbors-both-withlabel-4                         92.960           28.698        31.228         166.341    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4          32.892           23.092         0.629         118.156    
OperationGetKHopNeighbors-both-withlabel-5                       1814.197          607.605       581.069        4361.103    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5          31.877           21.461         0.619         100.624    
OperationGetManyVertexProperties-name                             588.233            0.000       588.233         588.233    
OperationGetManyVertexProperties-age                              666.685            0.000       666.685         666.685    
OperationGetManyEdgeProperties-time                                85.786            0.000        85.786          85.786    
OperationGetManyVertexPropertySets                                579.390            0.000       579.390         579.390    
OperationGetManyEdgePropertySets                                  154.582            0.000       154.582         154.582    
OperationGetVerticesUsingKeyIndex-_original_id                     35.482           58.387         0.448         563.847    
OperationGetVerticesUsingKeyIndex-name                             70.189           69.564         0.835         390.503    
OperationGetVerticesUsingKeyIndex-age                             212.316          142.590       177.482        1127.865    
OperationGetEdgesUsingKeyIndex-time                               799.986         1766.821        12.719       10090.923    
OperationGetShortestPath                                        53301.466        25497.343      3249.664       92276.254    
OperationLocalClusteringCoefficient                                 0.818            0.265         0.308           1.801    
OperationShutdownGraph                                           2622.993            0.000      2622.993        2622.993    
