operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            0.030            0.013         0.014           0.104    
OperationGetKHopNeighbors-out-withlabel-2                           0.039            0.033         0.015           0.282    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            0.036            0.016         0.015           0.099    
OperationGetKHopNeighbors-out-withlabel-3                           0.112            0.219         0.016           1.309    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            0.046            0.032         0.015           0.159    
OperationGetKHopNeighbors-out-withlabel-4                           0.115            0.224         0.017           1.650    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            0.042            0.033         0.015           0.218    
OperationGetKHopNeighbors-out-withlabel-5                           0.157            0.363         0.015           2.737    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5            0.042            0.025         0.015           0.147    
OperationGetKHopNeighbors-in-withlabel-1                            0.027            0.007         0.019           0.071    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             0.033            0.013         0.024           0.113    
OperationGetKHopNeighbors-in-withlabel-2                            0.051            0.006         0.035           0.066    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             0.045            0.012         0.029           0.102    
OperationGetKHopNeighbors-in-withlabel-3                            0.112            0.026         0.042           0.176    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             0.051            0.013         0.034           0.107    
OperationGetKHopNeighbors-in-withlabel-4                            0.223            0.081         0.059           0.431    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             0.063            0.016         0.039           0.132    
OperationGetKHopNeighbors-in-withlabel-5                            0.303            0.133         0.042           0.579    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             0.060            0.018         0.037           0.132    
OperationGetKHopNeighbors-both-withlabel-1                          0.030            0.009         0.019           0.075    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           0.040            0.020         0.025           0.160    
OperationGetKHopNeighbors-both-withlabel-2                          0.097            0.048         0.043           0.329    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2           0.063            0.028         0.031           0.205    
OperationGetKHopNeighbors-both-withlabel-3                          0.743            0.436         0.219           2.799    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3           0.077            0.035         0.034           0.226    
OperationGetKHopNeighbors-both-withlabel-4                          3.094            0.637         1.284           4.032    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           0.090            0.034         0.040           0.183    
OperationGetKHopNeighbors-both-withlabel-5                          3.967            0.459         2.116           4.381    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5           0.142            0.217         0.040           2.204    
OperationGetManyVertexProperties-name                               0.474            0.443         0.140           2.309    
OperationGetManyVertexProperties-age                                0.129            0.021         0.080           0.181    
OperationGetManyEdgeProperties-time                                 0.130            0.049         0.080           0.385    
OperationGetManyVertexPropertySets                                  0.211            0.042         0.117           0.277    
OperationGetManyEdgePropertySets                                    0.115            0.028         0.083           0.179    
OperationGetVerticesUsingKeyIndex-_original_id                      0.474            0.520         0.287           5.563    
OperationGetVerticesUsingKeyIndex-name                              0.407            0.077         0.261           0.619    
OperationGetVerticesUsingKeyIndex-age                               0.637            0.143         0.388           0.841    
OperationGetEdgesUsingKeyIndex-time                                 0.834            1.588         0.361          16.398    
OperationGetShortestPath                                            3.456            1.573         0.460           6.070    
OperationLocalClusteringCoefficient                                 0.150            0.074         0.068           0.504    
OperationShutdownGraph                                            309.401            0.000       309.401         309.401    
