operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             1.915            4.323         0.066          19.090    
OperationGetKHopNeighbors-both-withlabel-1                          0.137            0.025         0.089           0.209    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           2.205            5.016         0.099          25.752    
OperationGetKHopNeighbors-both-withlabel-2                          0.327            0.153         0.137           1.210    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2           2.908            5.026         0.140          25.337    
OperationGetKHopNeighbors-both-withlabel-3                          1.420            1.506         0.133          11.137    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3           3.775            7.943         0.230          62.474    
OperationGetKHopNeighbors-both-withlabel-4                         10.394            9.828         0.104          61.047    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           2.758            4.857         0.139          26.362    
OperationGetKHopNeighbors-both-withlabel-5                         75.927          117.938         0.101         733.066    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5           2.713            4.957         0.233          20.308    
OperationGetManyVertexProperties-name                             539.735            0.000       539.735         539.735    
OperationGetManyVertexProperties-age                              300.077            0.000       300.077         300.077    
OperationGetManyEdgeProperties-time                                 1.583            0.000         1.583           1.583    
OperationGetManyVertexPropertySets                                596.809            0.000       596.809         596.809    
OperationGetManyEdgePropertySets                                    3.177            0.000         3.177           3.177    
OperationGetVerticesUsingKeyIndex-_original_id                      3.880            4.981         0.158          25.569    
OperationGetVerticesUsingKeyIndex-name                              8.518           14.753         0.185         135.000    
OperationGetVerticesUsingKeyIndex-age                               4.558            2.206         1.893          17.642    
OperationGetEdgesUsingKeyIndex-time                                 0.329            0.101         0.192           0.552    
OperationShutdownGraph                                            288.105            0.000       288.105         288.105    
