operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationGetKHopNeighbors-out-4                                     0.269            0.140         0.074           0.809    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.149            0.047         0.055           0.231    
OperationGetKHopNeighbors-out-5                                     0.508            0.305         0.088           1.390    
OperationGetKHopNeighborsEdgeConditional-out-5                      0.164            0.055         0.058           0.268    
OperationGetKHopNeighbors-in-1                                      0.098            0.016         0.071           0.159    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.099            0.018         0.057           0.162    
OperationGetKHopNeighbors-in-2                                      0.120            0.035         0.078           0.366    
OperationGetKHopNeighborsEdgeConditional-in-2                       0.128            0.028         0.075           0.203    
OperationGetKHopNeighbors-in-3                                      0.181            0.064         0.073           0.379    
OperationGetKHopNeighborsEdgeConditional-in-3                       0.147            0.042         0.056           0.249    
OperationGetKHopNeighbors-in-4                                      0.291            0.150         0.073           0.782    
OperationGetKHopNeighborsEdgeConditional-in-4                       0.154            0.043         0.058           0.244    
OperationGetKHopNeighbors-in-5                                      0.469            0.315         0.074           1.680    
OperationGetKHopNeighborsEdgeConditional-in-5                       0.188            0.054         0.056           0.303    
OperationGetKHopNeighbors-both-1                                    0.126            0.020         0.087           0.185    
OperationGetKHopNeighborsEdgeConditional-both-1                     0.150            0.030         0.086           0.233    
OperationGetKHopNeighbors-both-2                                    0.231            0.061         0.137           0.371    
OperationGetKHopNeighborsEdgeConditional-both-2                     0.198            0.031         0.118           0.296    
OperationGetKHopNeighbors-both-3                                    0.740            0.347         0.176           1.528    
OperationGetKHopNeighborsEdgeConditional-both-3                     0.224            0.048         0.139           0.322    
OperationGetKHopNeighbors-both-4                                    3.091            1.368         0.488           7.613    
OperationGetKHopNeighborsEdgeConditional-both-4                     0.269            0.059         0.151           0.385    
OperationGetKHopNeighbors-both-5                                    8.739            2.961         0.637          14.645    
OperationGetKHopNeighborsEdgeConditional-both-5                     0.294            0.080         0.170           0.425    
OperationGetKHopNeighbors-out-withlabel-1                           0.089            0.013         0.078           0.113    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            0.107            0.028         0.057           0.171    
OperationGetKHopNeighbors-out-withlabel-2                           0.118            0.028         0.073           0.192    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            0.119            0.027         0.059           0.174    
OperationGetKHopNeighbors-out-withlabel-3                           0.157            0.056         0.079           0.413    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            0.141            0.035         0.060           0.236    
OperationGetKHopNeighbors-out-withlabel-4                           0.312            0.177         0.072           0.890    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            0.141            0.033         0.061           0.219    
OperationGetKHopNeighbors-out-withlabel-5                           0.504            0.340         0.073           1.470    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5            0.172            0.055         0.058           0.284    
OperationGetKHopNeighbors-in-withlabel-1                            0.106            0.016         0.077           0.156    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             0.108            0.021         0.058           0.162    
OperationGetKHopNeighbors-in-withlabel-2                            0.130            0.027         0.074           0.201    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             0.126            0.032         0.057           0.213    
OperationGetKHopNeighbors-in-withlabel-3                            0.185            0.066         0.072           0.331    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             0.148            0.034         0.058           0.241    
OperationGetKHopNeighbors-in-withlabel-4                            0.272            0.145         0.073           0.644    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             0.165            0.047         0.056           0.300    
OperationGetKHopNeighbors-in-withlabel-5                            0.462            0.331         0.074           1.453    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             0.200            0.049         0.077           0.286    
OperationGetKHopNeighbors-both-withlabel-1                          0.127            0.026         0.086           0.190    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           0.146            0.026         0.100           0.234    
OperationGetKHopNeighbors-both-withlabel-2                          0.236            0.066         0.128           0.402    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2           0.180            0.036         0.122           0.266    
OperationGetKHopNeighbors-both-withlabel-3                          0.740            0.279         0.204           1.657    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3           0.251            0.039         0.144           0.333    
OperationGetKHopNeighbors-both-withlabel-4                          2.971            1.176         0.689           6.653    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           0.267            0.057         0.156           0.353    
OperationGetKHopNeighbors-both-withlabel-5                          9.426            2.929         2.356          15.769    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5           0.292            0.075         0.153           0.448    
OperationGetManyVertexProperties-name                               3.944            0.000         3.944           3.944    
OperationGetManyVertexProperties-age                                2.662            0.000         2.662           2.662    
OperationGetManyEdgeProperties-time                                 2.636            0.000         2.636           2.636    
OperationGetManyVertexPropertySets                                  5.698            0.000         5.698           5.698    
OperationGetManyEdgePropertySets                                    2.736            0.000         2.736           2.736    
OperationGetVerticesUsingKeyIndex-_original_id                      0.146            0.026         0.109           0.215    
OperationGetVerticesUsingKeyIndex-name                              0.155            0.027         0.112           0.218    
OperationGetVerticesUsingKeyIndex-age                               0.155            0.024         0.114           0.227    
OperationGetEdgesUsingKeyIndex-time                                 0.135            0.021         0.107           0.187    
OperationGetShortestPath                                            9.017            4.810         0.022          17.765    
OperationLocalClusteringCoefficient                                 0.347            0.078         0.181           0.520    
OperationShutdownGraph                                            105.729            0.000       105.729         105.729    
